学期id,新学期课程序号,课程代码,课程名称,课程教师,平均分,最高分,最低分,预测人数,实际人数,90-100比例,80-89.9比例,70-79.9比例,60-69.9比例,0-59.9比例
662,0004	,b0002002,日语绘本阅读,朱浩昱,80.5,96,0,35,35,34.3%,54.3%,0%,2.9%,8.6%
602,0004	,b0002002,日语绘本阅读,朱浩昱,88.9,94,75,31,31,54.8%,41.9%,3.2%,0%,0%
562,0004	,b0002002,日语绘本阅读,朱浩昱,88.4,94,67,23,22,63.6%,31.8%,0%,4.5%,0%
561,0004	,b0002002,日语绘本阅读,朱浩昱,85.9,99,0,30,30,43.3%,53.3%,0%,0%,3.3%
662,0018	,b0021037,摄影技巧与图像处理,毕烨,86.6,98,70,41,41,53.7%,29.3%,17.1%,0%,0%
622,0018	,b0021037,摄影技巧与图像处理,毕烨,84.5,95,65,58,58,36.2%,53.4%,6.9%,3.4%,0%
602,0018	,b0021037,摄影技巧与图像处理,毕烨,85,95,60,66,63,42.9%,44.4%,11.1%,1.6%,0%
561,0018	,b0021037,摄影技巧与图像处理,毕烨,82.5,95,60,72,69,31.9%,46.4%,15.9%,5.8%,0%
662,0022	,b0021054,实用心理学,朱小麟,85.4,96,70,46,44,36.4%,43.2%,15.9%,4.5%,0%
622,0022	,b0021054,实用心理学,朱小麟,85.7,93,15,81,81,59.3%,28.4%,9.9%,1.2%,1.2%
662,1633	,g2062183,咖啡服务管理,外教酒,95.1,96,81,38,38,94.7%,5.3%,0%,0%,0%
662,0081	,b0022102,日本动漫艺术概论,左文海,83.6,100,0,47,47,53.2%,27.7%,6.4%,8.5%,4.3%
622,0081	,b0022102,日本动漫艺术概论,左文海,85.3,100,0,80,80,63.8%,17.5%,12.5%,3.8%,2.5%
602,0081	,b0022102,日本动漫艺术概论,左文海,74.4,98,28,85,85,18.8%,29.4%,21.2%,20%,10.6%
562,0081	,b0022102,日本动漫艺术概论,左文海,85.9,100,64,79,75,56%,21.3%,12%,10.7%,0%
561,0081	,b0022102,日本动漫艺术概论,左文海,86.6,100,50,81,79,59.5%,30.4%,7.6%,1.3%,1.3%
662,0505	,b4012109,智能统计学技术课程实习,王彤,84,91,77,2,2,50%,0%,50%,0%,0%
602,0505	,b4012109,智能统计学技术课程实习,王彤,80.3,94,52,49,49,28.6%,28.6%,18.4%,4.1%,20.4%
662,0337	,b2041099,设计构成(A),王斯华,77.1,87,65,22,21,0%,28.6%,52.4%,19%,0%
562,0337	,b2041099,设计构成(A),王斯华,81,81,81,1,1,0%,100%,0%,0%,0%
562,0337	,b2041099,设计构成(A),王斯华,83.2,91,61,24,24,25%,54.2%,16.7%,4.2%,0%
561,0337	,b2041099,设计构成(A),王斯华,70.4,88,60,23,22,0%,13.6%,22.7%,63.6%,0%
662,0050	,b0021123,PPT设计与演示艺术,杨亮涛,83.3,95,67,45,44,20.5%,38.6%,40.9%,0%,0%
662,0986	,b1090001,基础工程训练,吴飞科,86.1,92,70,35,35,31.4%,54.3%,11.4%,2.9%,0%
602,0986	,b1090001,基础工程训练,吴飞科,86.4,92,79,35,35,57.1%,34.3%,8.6%,0%,0%
562,0986	,b1090001,基础工程训练,吴飞科,84.4,93,54,38,37,56.8%,37.8%,5.4%,0%,0%
561,0986	,b1090001,基础工程训练,吴飞科,84.7,91,64,35,35,31.4%,42.9%,20%,5.7%,0%
561,0986	,b1090001,基础工程训练,吴飞科,82.6,90,7,19,19,31.6%,63.2%,0%,0%,5.3%
662,0053	,b0021126,智能时代人机交互技术应用,李铁柱,89.2,98,80,44,43,79.1%,20.9%,0%,0%,0%
662,0310	,b2041054,动态速写,严波,86.2,95,76,21,21,19%,71.4%,9.5%,0%,0%
602,0310	,b2041054,动态速写,严波,83.6,95,74,20,20,20%,50%,30%,0%,0%
662,0321	,b2041072,建筑模型制作,姚喆,81.8,90,66,24,24,8.3%,66.7%,16.7%,8.3%,0%
602,0321	,b2041072,建筑模型制作,姚喆,80.8,90,60,21,21,4.8%,52.4%,38.1%,4.8%,0%
662,0397	,b2041116,摄影基础,戴芳,80,90,70,21,21,9.5%,42.9%,47.6%,0%,0%
662,0397	,b2041116,摄影基础,戴芳,83.6,90,78,21,21,9.5%,66.7%,23.8%,0%,0%
662,1173	,b1090001,基础工程训练,陈冠玲,86.1,91,80,35,35,42.9%,51.4%,5.7%,0%,0%
622,1173	,b1090001,基础工程训练,陈冠玲,79.6,92,43,28,28,50%,35.7%,10.7%,3.6%,0%
602,1173	,b1090001,基础工程训练,陈冠玲,88.6,94,80,36,36,58.3%,38.9%,2.8%,0%,0%
562,1173	,b1090001,基础工程训练,陈冠玲,82.8,91,44,38,36,41.7%,41.7%,11.1%,0%,5.6%
561,1173	,b1090001,基础工程训练,陈冠玲,86.4,93,67,40,40,37.5%,32.5%,22.5%,2.5%,5%
561,1173	,b1090001,基础工程训练,陈冠玲,87.4,94,75,40,40,45%,45%,0%,7.5%,2.5%
662,1084	,b2012026,电子测量与检测,顾阳,62,62,62,1,1,0%,0%,0%,100%,0%
622,1084	,b2012026,电子测量与检测,顾阳,73.1,88,57,30,28,0%,7.1%,42.9%,35.7%,14.3%
562,1084	,b2012026,电子测量与检测,顾阳,71.8,85,50,36,32,0%,15.6%,37.5%,31.2%,15.6%
662,0302	,b2041034,产品设计（A）,沈杰,72,72,72,1,1,0%,0%,100%,0%,0%
622,0238	,b2011001,CAD/CAM,沈歆迪,63.9,97,15,34,34,8.8%,5.9%,11.8%,14.7%,58.8%
622,0238	,b2011001,CAD/CAM,沈歆迪,58.1,91,21,31,30,0%,3.3%,10%,16.7%,70%
602,0238	,b2011001,CAD/CAM,沈歆迪,74.1,81,71,11,11,0%,0%,90.9%,9.1%,0%
562,0238	,b2011001,CAD/CAM,沈歆迪,67.2,97,32,33,31,12.9%,6.5%,9.7%,16.1%,54.8%
562,0238	,b2011001,CAD/CAM,沈歆迪,55.4,85,28,31,31,0%,3.2%,0%,12.9%,83.9%
622,0283	,b1020044,翻译理论与实践,罗玲,81.9,90,61,46,45,0%,62.2%,28.9%,6.7%,2.2%
622,0283	,b1020044,翻译理论与实践,罗玲,87.1,92,80,49,48,16.7%,83.3%,0%,0%,0%
562,0283	,b1020044,翻译理论与实践,罗玲,86,92,78,47,46,17.4%,78.3%,4.3%,0%,0%
622,1840	,b2030239,市场调查与分析,杨昀,85.4,95,67,21,21,23.8%,52.4%,14.3%,9.5%,0%
622,0003	,b0002001,日本影视文学欣赏,鲁峥,85.9,98,76,73,70,24.3%,55.7%,20%,0%,0%
602,0003	,b0002001,日本影视文学欣赏,鲁峥,85.6,96,60,80,77,35.1%,44.2%,15.6%,5.2%,0%
562,0003	,b0002001,日本影视文学欣赏,鲁峥,77.2,96,0,81,80,22.5%,50%,12.5%,6.2%,8.8%
561,0003	,b0002001,日本影视文学欣赏,鲁峥,83.5,96,61,77,75,24%,46.7%,22.7%,6.7%,0%
622,0005	,b0021002,居室环境,周玉林,85.3,91,70,78,78,11.5%,79.5%,9%,0%,0%
602,0005	,b0021002,居室环境,周玉林,84.5,92,62,89,88,10.2%,80.7%,6.8%,2.3%,0%
562,0005	,b0021002,居室环境,周玉林,84,90,60,91,89,13.5%,73%,9%,4.5%,0%
561,0005	,b0021002,居室环境,周玉林,85.4,90,60,81,78,10.3%,78.2%,7.7%,3.8%,0%
622,0007	,b0021008,趣味化学实验,管传金,85.2,95,69,40,39,33.3%,41%,23.1%,2.6%,0%
602,0007	,b0021008,趣味化学实验,管传金,85.5,94,77,41,39,25.6%,59%,15.4%,0%,0%
562,0007	,b0021008,趣味化学实验,管传金,86,92,70,46,45,17.8%,77.8%,2.2%,2.2%,0%
561,0007	,b0021008,趣味化学实验,管传金,86.9,92,81,38,36,30.6%,61.1%,8.3%,0%,0%
622,0008	,b0021009,环境与能源,徐敏,81.8,93,0,78,78,17.9%,60.3%,15.4%,3.8%,2.6%
602,0008	,b0021009,环境与能源,徐敏,80.2,94,0,54,54,16.7%,72.2%,3.7%,0%,7.4%
562,0008	,b0021009,环境与能源,徐敏,83.6,94,0,87,87,18.4%,65.5%,14.9%,0%,1.1%
561,0008	,b0021009,环境与能源,徐敏,80.8,95,0,42,42,19%,69%,7.1%,0%,4.8%
622,0009	,b0021010,健康养生与生活环境,高桂兰,80,96,63,80,79,16.5%,35.4%,38%,10.1%,0%
602,0009	,b0021010,健康养生与生活环境,高桂兰,80.3,91,64,77,75,2.7%,53.3%,30.7%,13.3%,0%
562,0009	,b0021010,健康养生与生活环境,高桂兰,80.4,95,60,80,77,9.1%,50.6%,28.6%,11.7%,0%
561,0009	,b0021010,健康养生与生活环境,高桂兰,82.6,95,69,79,75,9.3%,62.7%,26.7%,1.3%,0%
622,0011	,b0021016,计算机辅助设计（Auto CAD中级）,陈冠玲,88.2,98,75,57,56,32.1%,64.3%,0%,3.6%,0%
602,0011	,b0021016,计算机辅助设计（Auto CAD中级）,陈冠玲,85.8,97,74,55,54,31.5%,59.3%,9.3%,0%,0%
562,0011	,b0021016,计算机辅助设计（Auto CAD中级）,陈冠玲,84.4,93,70,59,59,18.6%,69.5%,11.9%,0%,0%
622,0241	,b1020066,大学物理C,大学物理组,60.5,78,0,13,13,0%,0%,61.5%,23.1%,15.4%
622,0013	,b0021023,天体演化,王玉,85.2,95,60,82,80,36.2%,55%,6.2%,2.5%,0%
602,0013	,b0021023,天体演化,王玉,86.8,95,60,83,79,46.8%,46.8%,3.8%,2.5%,0%
562,0013	,b0021023,天体演化,王玉,85.1,97,60,80,80,38.8%,46.2%,13.8%,1.2%,0%
561,0013	,b0021023,天体演化,王玉,86.8,98,65,79,77,53.2%,37.7%,2.6%,6.5%,0%
622,0014	,b0021024,用Maple软件学大学数学,吴珞,83.8,96,62,16,16,25%,25%,18.8%,18.8%,12.5%
562,0014	,b0021024,用Maple软件学大学数学,吴珞,80.5,100,19,28,27,29.6%,18.5%,22.2%,7.4%,22.2%
622,0015	,b0021026,博弈论基础,桂胜华,89,100,40,80,78,23.1%,53.8%,19.2%,1.3%,2.6%
602,0015	,b0021026,博弈论基础,桂胜华,89.2,98,67,80,79,57%,13.9%,11.4%,13.9%,3.8%
562,0015	,b0021026,博弈论基础,桂胜华,87.8,100,61,77,69,50.7%,23.2%,1.4%,10.1%,14.5%
622,0020	,b0021049,化妆品化学,赵雪伶,85.8,95,76,80,80,17.5%,71.2%,11.2%,0%,0%
562,0020	,b0021049,化妆品化学,赵雪伶,84.3,93,75,85,84,9.5%,64.3%,26.2%,0%,0%
561,0020	,b0021049,化妆品化学,赵雪伶,84.8,92,75,85,83,9.6%,75.9%,14.5%,0%,0%
622,0023	,b0021060,化学与人类文明#,王继芬,90.7,100,3,116,116,72.4%,22.4%,4.3%,0%,0.9%
602,0023	,b0021060,化学与人类文明#,王继芬,91,100,74,84,84,72.6%,13.1%,13.1%,1.2%,0%
561,0023	,b0021060,化学与人类文明#,王继芬,85.7,98,72,77,77,9.1%,54.5%,36.4%,0%,0%
622,0025	,b0021066,科学技术史,王胜利,87.7,95,60,17,17,82.4%,5.9%,0%,11.8%,0%
602,0025	,b0021066,科学技术史,王胜利,87.9,95,60,86,86,25.6%,60.5%,10.5%,3.5%,0%
562,0025	,b0021066,科学技术史,王胜利,85.3,98,60,78,78,11.5%,35.9%,48.7%,2.6%,1.3%
561,0025	,b0021066,科学技术史,王胜利,87.9,98,60,79,79,27.8%,50.6%,21.5%,0%,0%
622,0027	,b0021079,心理学与自我成长,吴海燕,86.1,98,59,79,79,49.4%,48.1%,2.5%,0%,0%
602,0027	,b0021079,心理学与自我成长,吴海燕,81.1,93,62,76,75,12%,44%,37.3%,6.7%,0%
622,0426	,b2090001,电工与电子学,尹丽华,68.5,93,44,50,50,6%,6%,10%,16%,62%
622,0432	,b2090006,电路分析基础,杭娟,69.6,90,36,62,60,0%,6.7%,20%,18.3%,55%
622,0432	,b2090006,电路分析基础,杭娟,70.5,98,43,64,62,1.6%,8.1%,17.7%,27.4%,45.2%
622,0432	,b2090006,电路分析基础,杭娟,68.5,95,47,50,49,2%,6.1%,10.2%,24.5%,57.1%
622,0432	,b2090006,电路分析基础,杭娟,72.5,98,47,65,65,4.6%,4.6%,18.5%,29.2%,43.1%
622,0432	,b2090006,电路分析基础,杭娟,68.2,97,43,61,60,3.3%,8.3%,13.3%,20%,55%
622,0033	,b0021096,数控加工中心(高级),李蓓华,87.4,97,80,16,16,43.8%,56.2%,0%,0%,0%
562,0033	,b0021096,数控加工中心(高级),李蓓华,89.2,98,64,20,20,70%,15%,10%,5%,0%
622,0034	,b0021099,经典计算机综合技能攻略与实践,杨兆赞,81.2,91,71,30,28,14.3%,42.9%,42.9%,0%,0%
602,0034	,b0021099,经典计算机综合技能攻略与实践,杨兆赞,82.3,91,70,39,38,15.8%,47.4%,36.8%,0%,0%
622,0685	,b4040003,视觉传达设计专业毕业实习与毕业设计（论文）,田华,79.8,93,67,24,24,8.3%,37.5%,50%,4.2%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,84.4,92,73,84,79,19%,69.6%,11.4%,0%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,84.3,95,66,85,85,12.9%,80%,5.9%,1.2%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,83.9,95,66,88,85,11.8%,78.8%,8.2%,1.2%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,85,92,77,88,87,16.1%,82.8%,1.1%,0%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,83,94,68,87,86,10.5%,64%,24.4%,1.2%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,83.2,90,73,87,82,11%,79.3%,9.8%,0%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,83.4,92,73,87,85,25.9%,62.4%,11.8%,0%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,83.2,90,73,87,85,17.6%,71.8%,10.6%,0%,0%
622,0535	,b1100007,形势与政策（模块2）,陈敏俐,82.5,86,77,6,6,0%,83.3%,16.7%,0%,0%
562,0535	,b1100007,形势与政策（模块2）,陈敏俐,82.6,94,26,81,81,14.8%,63%,14.8%,6.2%,1.2%
562,0535	,b1100007,形势与政策（模块2）,陈敏俐,82.3,94,26,82,80,15%,67.5%,15%,1.2%,1.2%
562,0535	,b1100007,形势与政策（模块2）,陈敏俐,82.8,94,67,81,81,9.9%,70.4%,18.5%,1.2%,0%
562,0535	,b1100007,形势与政策（模块2）,陈敏俐,82.3,94,26,83,82,7.3%,79.3%,11%,0%,2.4%
622,0037	,b0021102,文史哲与艺术中的数学#,范静,87.9,99,12,120,120,68.3%,21.7%,4.2%,2.5%,3.3%
602,0037	,b0021102,文史哲与艺术中的数学#,范静,88.5,99,0,50,50,48%,36%,12%,0%,4%
622,0039	,b0021104,企业EHS风险管理基础#,乔炜,81.2,98,53,50,48,35.4%,62.5%,2.1%,0%,0%
622,0684	,b4040002,环境设计专业毕业实习与毕业设计（论文）,姚喆,79.9,92,62,23,23,8.7%,47.8%,39.1%,4.3%,0%
622,0041	,b0021106,VR虚拟现实的新世界,吕翰林,81.1,98,0,25,25,36%,32%,16%,8%,8%
602,0041	,b0021106,VR虚拟现实的新世界,吕翰林,90.1,99,60,31,31,83.9%,0%,0%,16.1%,0%
622,0059	,b0022002,企业战略管理,肖智润,83.5,92,67,30,29,20.7%,65.5%,13.8%,0%,0%
602,0059	,b0022002,企业战略管理,肖智润,86.8,92,78,18,18,33.3%,55.6%,11.1%,0%,0%
562,0059	,b0022002,企业战略管理,肖智润,81.6,93,0,39,39,33.3%,53.8%,7.7%,0%,5.1%
561,0059	,b0022002,企业战略管理,肖智润,85.7,92,60,49,47,25.5%,68.1%,4.3%,2.1%,0%
622,0060	,b0022004,围棋,陈忠义,89.9,95,83,75,74,78.4%,21.6%,0%,0%,0%
602,0060	,b0022004,围棋,陈忠义,86.1,91,79,32,30,53.3%,46.7%,0%,0%,0%
562,0060	,b0022004,围棋,陈忠义,74.5,93,51,77,75,10.7%,20%,32%,21.3%,16%
561,0060	,b0022004,围棋,陈忠义,82.7,97,65,74,73,39.7%,28.8%,28.8%,2.7%,0%
622,0062	,b0022008,管理学,陶仁泉,82.7,90,73,27,26,15.4%,76.9%,7.7%,0%,0%
602,0062	,b0022008,管理学,陶仁泉,78.9,90,75,14,12,8.3%,50%,41.7%,0%,0%
562,0062	,b0022008,管理学,陶仁泉,81.3,90,74,77,75,5.3%,84%,10.7%,0%,0%
561,0062	,b0022008,管理学,陶仁泉,81,90,74,37,35,5.7%,94.3%,0%,0%,0%
622,0063	,b0022009,诗经爱情诗十二讲#,戴从喜,89.8,100,67,75,72,72.2%,20.8%,5.6%,1.4%,0%
602,0063	,b0022009,诗经爱情诗十二讲#,戴从喜,87.4,97,64,80,80,65%,18.8%,10%,3.8%,2.5%
562,0063	,b0022009,诗经爱情诗十二讲#,戴从喜,82.7,100,60,79,78,26.9%,44.9%,21.8%,6.4%,0%
561,0063	,b0022009,诗经爱情诗十二讲#,戴从喜,85.2,93,70,52,51,45.1%,41.2%,11.8%,2%,0%
622,0064	,b0022013,中华诗词之美#,戴从喜,88.9,96,71,47,46,78.3%,17.4%,2.2%,2.2%,0%
602,0064	,b0022013,中华诗词之美#,戴从喜,90.5,99,78,43,42,66.7%,21.4%,7.1%,4.8%,0%
562,0064	,b0022013,中华诗词之美#,戴从喜,89.9,100,74,87,84,59.5%,28.6%,10.7%,1.2%,0%
561,0064	,b0022013,中华诗词之美#,戴从喜,89.1,100,60,66,65,67.7%,27.7%,3.1%,1.5%,0%
622,0065	,b0022014,四大名著鉴赏#,黄伟建,81.7,99,32,119,119,38.7%,29.4%,20.2%,10.9%,0.8%
602,0065	,b0022014,四大名著鉴赏#,黄伟建,86.3,98,0,88,88,45.5%,35.2%,15.9%,2.3%,1.1%
562,0065	,b0022014,四大名著鉴赏#,黄伟建,83.1,99,0,203,202,45%,25.7%,16.3%,9.9%,3%
561,0065	,b0022014,四大名著鉴赏#,黄伟建,83.7,100,0,196,195,38.5%,41%,15.4%,3.6%,1.5%
622,0067	,b0022016,奢侈品概论,孙艳,83.3,93,51,77,77,15.6%,67.5%,9.1%,6.5%,1.3%
561,0067	,b0022016,奢侈品概论,孙艳,83.9,94,60,75,73,8.2%,63%,17.8%,5.5%,5.5%
622,0071	,b0022022,篮球竞赛规则与裁判法,左坤,88.5,93,80,39,39,61.5%,38.5%,0%,0%,0%
602,0071	,b0022022,篮球竞赛规则与裁判法,左坤,85.2,95,80,32,32,28.1%,71.9%,0%,0%,0%
562,0071	,b0022022,篮球竞赛规则与裁判法,左坤,88.7,96,80,39,39,48.7%,51.3%,0%,0%,0%
561,0071	,b0022022,篮球竞赛规则与裁判法,左坤,83.7,93,70,39,39,30.8%,64.1%,5.1%,0%,0%
622,0783	,b2041025,表现技法,张欣,82.9,95,66,22,22,13.6%,68.2%,9.1%,9.1%,0%
622,0783	,b2041025,表现技法,张欣,72.5,75,70,2,2,0%,0%,100%,0%,0%
562,0783	,b2041025,表现技法,张欣,79.5,89,50,21,21,0%,71.4%,14.3%,4.8%,9.5%
622,0338	,b2041099,设计构成(A),张欣,83.6,92,60,22,22,22.7%,63.6%,9.1%,4.5%,0%
622,0074	,b0022040,《史记》选讲,蔡巍,88.7,95,86,47,46,21.7%,78.3%,0%,0%,0%
602,0074	,b0022040,《史记》选讲,蔡巍,87.9,92,82,80,79,16.5%,83.5%,0%,0%,0%
562,0074	,b0022040,《史记》选讲,蔡巍,87.6,93,82,81,81,2.5%,97.5%,0%,0%,0%
561,0074	,b0022040,《史记》选讲,蔡巍,88.5,95,79,78,77,32.5%,67.5%,0%,0%,0%
622,0342	,b2041101,设计构成(B),张欣,84.9,95,60,22,22,18.2%,72.7%,4.5%,0%,4.5%
562,0342	,b2041101,设计构成(B),张欣,84.2,95,73,21,21,42.9%,38.1%,9.5%,9.5%,0%
622,0159	,b2023031,公共关系语言与写作,李明,83.6,90,60,27,26,34.6%,57.7%,3.8%,3.8%,0%
622,0159	,b2023031,公共关系语言与写作,李明,82.9,89,77,35,33,6.1%,84.8%,9.1%,0%,0%
622,1411	,b2023037,广告学,张辉,84.3,96,62,24,23,30.4%,39.1%,8.7%,13%,8.7%
622,0077	,b0022080,健身毽球,张伟,86,86,86,31,31,0%,100%,0%,0%,0%
602,0077	,b0022080,健身毽球,张伟,86.1,88,86,38,38,0%,100%,0%,0%,0%
562,0077	,b0022080,健身毽球,张伟,88.3,90,86,77,77,16.9%,83.1%,0%,0%,0%
561,0077	,b0022080,健身毽球,张伟,90,90,90,39,39,100%,0%,0%,0%,0%
622,0078	,b0022083,劳模精神与创新创业,经晓峰,83.5,97,72,33,33,9.1%,24.2%,51.5%,15.2%,0%
602,0078	,b0022083,劳模精神与创新创业,经晓峰,84.9,97,61,48,48,45.8%,37.5%,10.4%,6.2%,0%
562,0078	,b0022083,劳模精神与创新创业,经晓峰,85.1,94,0,36,36,44.4%,36.1%,2.8%,13.9%,2.8%
561,0078	,b0022083,劳模精神与创新创业,经晓峰,83.1,97,30,71,71,25.4%,49.3%,22.5%,1.4%,1.4%
622,1109	,b2012077,射频电子线路,胡海江,75,95,45,35,34,11.8%,8.8%,38.2%,29.4%,11.8%
562,1109	,b2012077,射频电子线路,胡海江,77,98,37,83,81,12.3%,27.2%,22.2%,18.5%,19.8%
622,0080	,b0022099,当代流行文化与审美批判,吕峰,86.1,97,15,35,35,40%,48.6%,8.6%,0%,2.9%
602,0080	,b0022099,当代流行文化与审美批判,吕峰,87.5,100,28,24,24,83.3%,12.5%,0%,0%,4.2%
562,0080	,b0022099,当代流行文化与审美批判,吕峰,79.7,95,10,78,78,43.6%,34.6%,12.8%,5.1%,3.8%
561,0080	,b0022099,当代流行文化与审美批判,吕峰,82.3,98,0,79,79,40.5%,41.8%,10.1%,3.8%,3.8%
622,0758	,b2041090,人体工程学,王渝柯,84.7,90,73,23,22,45.5%,40.9%,9.1%,4.5%,0%
622,0400	,b2041121,室内设计（A）,邹涛涛,74.5,90,40,23,23,8.7%,30.4%,34.8%,13%,13%
622,0404	,b2041126,室内照明设计,孙新平,74.6,93,36,23,23,21.7%,26.1%,21.7%,4.3%,26.1%
622,0084	,b0022108,翻译的艺术,孙仁杰,70.5,92,0,12,12,41.7%,33.3%,8.3%,0%,16.7%
562,0084	,b0022108,翻译的艺术,孙仁杰,79.6,90,0,74,74,18.9%,63.5%,8.1%,8.1%,1.4%
561,0084	,b0022108,翻译的艺术,孙仁杰,80.9,90,0,78,78,23.1%,48.7%,25.6%,1.3%,1.3%
622,0087	,b0022117,乒乓球竞赛规则与裁判法,朱亚云,78.1,96,0,14,14,64.3%,21.4%,0%,0%,14.3%
562,0087	,b0022117,乒乓球竞赛规则与裁判法,朱亚云,89.5,95,75,24,24,58.3%,37.5%,4.2%,0%,0%
622,0089	,b0022121,中外广告鉴赏,陈青,87.7,93,70,68,65,23.1%,64.6%,9.2%,3.1%,0%
602,0089	,b0022121,中外广告鉴赏,陈青,87.5,95,66,80,77,23.4%,68.8%,5.2%,2.6%,0%
562,0089	,b0022121,中外广告鉴赏,陈青,90.1,97,76,77,74,51.4%,41.9%,5.4%,1.4%,0%
622,0091	,b0022123,大学生心理成长,潘婷婷,91.6,94,85,50,50,84%,16%,0%,0%,0%
562,0091	,b0022123,大学生心理成长,潘婷婷,95.6,99,85,78,78,100%,0%,0%,0%,0%
622,0092	,b0022125,音话中国（音乐里的中国故事）,姜俊亮,85.8,99,30,48,48,10.4%,54.2%,33.3%,0%,2.1%
602,0092	,b0022125,音话中国（音乐里的中国故事）,姜俊亮,88.4,99,15,47,47,34%,61.7%,0%,0%,4.3%
622,0094	,b0022127,大学生心理健康,李咨含,87.3,95,27,80,80,72.5%,26.2%,0%,0%,1.2%
602,0094	,b0022127,大学生心理健康,李咨含,89.3,99,68,30,30,46.7%,50%,3.3%,0%,0%
622,1081	,b2012021,单片机原理与应用,宋绍京,62.5,89,29,50,46,0%,10.9%,15.2%,17.4%,56.5%
622,0098	,b0022132,英美影视语言与文化,程路,85.5,98,12,75,75,52%,41.3%,5.3%,0%,1.3%
602,0098	,b0022132,英美影视语言与文化,程路,81.4,98,8,79,77,23.4%,66.2%,7.8%,0%,2.6%
622,0560	,b2012021,单片机原理与应用,顾阳,63.1,94,33,26,26,3.8%,0%,19.2%,7.7%,69.2%
622,0560	,b2012021,单片机原理与应用,顾阳,44.5,47,42,2,2,0%,0%,0%,0%,100%
562,0560	,b2012021,单片机原理与应用,顾阳,73.3,96,42,48,47,12.8%,19.1%,23.4%,19.1%,25.5%
622,0100	,b0022136,中国当代小说选读#,吕峰,87,99,0,119,119,68.9%,22.7%,4.2%,2.5%,1.7%
602,0100	,b0022136,中国当代小说选读#,吕峰,90.1,100,33,87,87,71.3%,17.2%,1.1%,9.2%,1.1%
622,0102	,b0022138,东北亚国际关系史#,崔修竹,91.2,100,66,120,120,51.7%,21.7%,19.2%,6.7%,0.8%
602,0102	,b0022138,东北亚国际关系史#,崔修竹,86.2,100,2,34,34,38.2%,14.7%,23.5%,11.8%,11.8%
622,0106	,b0022142,古希腊文明#,徐蕾,90.2,100,0,120,120,80.8%,12.5%,5%,0%,1.7%
602,0106	,b0022142,古希腊文明#,徐蕾,82.8,96,60,83,82,7.3%,36.6%,36.6%,19.5%,0%
622,0107	,b0022143,伟大的《红楼梦》#,陈实,89.7,95,83,94,94,68.1%,31.9%,0%,0%,0%
602,0107	,b0022143,伟大的《红楼梦》#,陈实,89.6,97,80,54,54,79.6%,20.4%,0%,0%,0%
622,1621	,g2062121,工作分析与职业发展,外教英,91.9,100,0,36,37,94.6%,2.7%,0%,0%,2.7%
582,1621	,g2062121,工作分析与职业发展,外教英,78.2,99,48,39,39,20.5%,23.1%,38.5%,15.4%,2.6%
622,0132	,b0023001,艺术创想,侯林,85,90,70,10,10,60%,30%,10%,0%,0%
622,0132	,b0023001,艺术创想,侯林,85.6,90,80,33,32,56.2%,43.8%,0%,0%,0%
602,0132	,b0023001,艺术创想,侯林,87,95,75,31,30,56.7%,36.7%,6.7%,0%,0%
562,0132	,b0023001,艺术创想,侯林,87.2,95,80,29,29,41.4%,58.6%,0%,0%,0%
622,0133	,b0023002,艺术体验与表达,徐蕾,89.1,95,78,20,20,55%,40%,0%,5%,0%
622,0133	,b0023002,艺术体验与表达,徐蕾,88,95,81,81,81,50.6%,49.4%,0%,0%,0%
602,0133	,b0023002,艺术体验与表达,徐蕾,85.9,95,77,66,65,27.7%,67.7%,4.6%,0%,0%
602,0133	,b0023002,艺术体验与表达,徐蕾,86.3,95,80,59,58,22.4%,77.6%,0%,0%,0%
562,0133	,b0023002,艺术体验与表达,徐蕾,85,92,75,66,65,20%,69.2%,10.8%,0%,0%
622,0135	,b0023004,西方文学经典阅读,王世钰,82.1,95,60,41,41,19.5%,51.2%,12.2%,17.1%,0%
622,0135	,b0023004,西方文学经典阅读,王世钰,85.8,95,60,60,60,15%,80%,3.3%,1.7%,0%
602,0135	,b0023004,西方文学经典阅读,王世钰,84.6,96,60,50,50,14%,70%,6%,10%,0%
562,0135	,b0023004,西方文学经典阅读,王世钰,84.6,94,63,62,62,16.1%,72.6%,6.5%,4.8%,0%
622,0257	,b2012070,软件工程概论,谭文安,65,86,38,26,24,0%,4.2%,12.5%,29.2%,54.2%
602,0257	,b2012070,软件工程概论,谭文安,63.6,97,26,92,90,10%,8.9%,10%,14.4%,56.7%
561,0257	,b2012070,软件工程概论,谭文安,74,95,32,88,86,9.3%,17.4%,24.4%,14%,34.9%
622,0139	,b0023008,细胞分子与生命,朱剑明,86.2,98,60,61,61,44.3%,37.7%,16.4%,1.6%,0%
622,0139	,b0023008,细胞分子与生命,朱剑明,88.3,98,68,60,60,51.7%,40%,8.3%,0%,0%
