学期id,新学期课程序号,课程代码,课程名称,课程教师,平均分,最高分,最低分,预测人数,实际人数,90-100比例,80-89.9比例,70-79.9比例,60-69.9比例,0-59.9比例
622,0220	,b1020018,大学语文,黄伟建,80,80,80,1,1,0%,100%,0%,0%,0%
622,1404	,b2030153,信用风险分析与度量,赵迎东,76,83,70,4,4,0%,25%,25%,0%,50%
602,1404	,b2030153,信用风险分析与度量,赵迎东,62.3,99,18,91,90,4.4%,6.7%,17.8%,12.2%,58.9%
561,1404	,b2030153,信用风险分析与度量,赵迎东,73.5,99,31,85,83,13.3%,12%,30.1%,16.9%,27.7%
622,1342	,b2030060,会计学原理,史美霖,70.6,94,45,67,58,6.9%,8.6%,24.1%,29.3%,31%
602,1342	,b2030060,会计学原理,史美霖,71.2,94,42,130,126,4%,15.9%,23.8%,23.8%,32.5%
602,1342	,b2030060,会计学原理,史美霖,62.5,95,35,52,51,2%,5.9%,19.6%,17.6%,54.9%
562,1342	,b2030060,会计学原理,史美霖,62.2,84,40,82,78,0%,3.8%,9%,14.1%,73.1%
561,1342	,b2030060,会计学原理,史美霖,58.2,81,30,137,137,0%,0%,3.6%,9.5%,86.9%
622,0049	,b0021120,生命科学导论#,朱剑明,88.2,100,0,80,80,26.2%,35%,30%,6.2%,2.5%
622,0157	,g0062012,自我形象设计,邢菲君,84.5,95,60,16,15,26.7%,53.3%,6.7%,13.3%,0%
602,0157	,g0062012,自我形象设计,邢菲君,84.7,93,68,24,23,17.4%,52.2%,26.1%,4.3%,0%
562,0157	,g0062012,自我形象设计,邢菲君,84.1,100,18,58,56,16.1%,46.4%,28.6%,7.1%,1.8%
561,0157	,g0062012,自我形象设计,邢菲君,80.9,99,60,64,64,12.5%,29.7%,31.2%,23.4%,3.1%
642,0799	,b4030058,商务数据应用平台实践,潘海兰,83.4,95,75,39,39,12.8%,56.4%,30.8%,0%,0%
582,0799	,b4030058,商务数据应用平台实践,潘海兰,82.2,95,72,86,86,7%,58.1%,34.9%,0%,0%
642,0823	,b4090001,基础工程训练 A,李蓓华,78.3,87,66,30,30,0%,50%,40%,10%,0%
562,0823	,b4090001,基础工程训练 A,李蓓华,81.1,89,63,36,36,0%,63.9%,33.3%,2.8%,0%
642,1435	,b4030058,商务数据应用平台实践,陈建,86.5,99,74,40,40,22.5%,67.5%,10%,0%,0%
642,2636	,b4090004,基础工程训练 D,严剑刚,86.7,90,83,20,20,20%,80%,0%,0%,0%
582,2636	,b4090004,基础工程训练 D,严剑刚,83.5,91,67,22,22,9.1%,72.7%,13.6%,4.5%,0%
642,0206	,b4011031,工控组态软件实训,高顺富,80.6,95,68,35,35,17.1%,42.9%,34.3%,5.7%,0%
642,0206	,b4011031,工控组态软件实训,高顺富,82.5,95,68,33,31,19.4%,48.4%,29%,3.2%,0%
582,0206	,b4011031,工控组态软件实训,高顺富,76.7,88,65,35,35,0%,42.9%,45.7%,8.6%,2.9%
582,0206	,b4011031,工控组态软件实训,高顺富,79,93,62,38,38,7.9%,47.4%,42.1%,2.6%,0%
642,2633	,b2041026,材料与成型工艺,黎春辉,83.6,91,75,21,21,9.5%,52.4%,38.1%,0%,0%
642,0402	,b2041126,室内照明设计,姚喆,81.5,92,62,21,21,23.8%,42.9%,19%,14.3%,0%
642,0403	,b2041129,图案设计,王斯华,86,91,82,21,21,19%,81%,0%,0%,0%
642,0407	,b2041132,网页综合设计,杨光,82.8,90,79,20,20,15%,85%,0%,0%,0%
602,0001	,b0001012,工程经济与管理,潘芳煜,82.4,100,48,25,24,33.3%,16.7%,20.8%,8.3%,20.8%
561,0001	,b0001012,工程经济与管理,潘芳煜,86.5,100,61,27,25,40%,20%,20%,8%,12%
602,1345	,b2030060,会计学原理,刘伟琴,74.4,92,38,87,86,3.5%,24.4%,20.9%,16.3%,34.9%
602,1357	,b2030081,金融学,郑秀君,70.1,86,49,90,89,0%,4.5%,21.3%,31.5%,42.7%
561,1357	,b2030081,金融学,郑秀君,68.3,87,36,110,109,0%,5.5%,22%,25.7%,46.8%
602,0030	,b0021088,数据库技术与应用技能,梁海英,75.9,91,6,20,20,0%,25%,35%,30%,10%
562,0030	,b0021088,数据库技术与应用技能,梁海英,76.3,90,6,29,29,0%,37.9%,41.4%,17.2%,3.4%
602,1296	,b2023033,政治学原理,余平,81.7,92,63,35,35,17.1%,28.6%,34.3%,11.4%,8.6%
602,1296	,b2023033,政治学原理,余平,81.1,93,57,27,27,18.5%,33.3%,22.2%,3.7%,22.2%
602,0079	,b0022084,职业生涯与职业信用,经晓峰,80.9,96,61,48,48,22.9%,16.7%,25%,31.2%,4.2%
562,0079	,b0022084,职业生涯与职业信用,经晓峰,85.6,98,38,42,42,47.6%,38.1%,0%,9.5%,4.8%
561,0079	,b0022084,职业生涯与职业信用,经晓峰,87.2,98,64,77,77,28.6%,59.7%,10.4%,0%,1.3%
602,0138	,b0023007,化学与人类生活,王继芬,89.2,98,80,12,12,50%,16.7%,33.3%,0%,0%
602,0141	,b0023010,世界文明史,崔修竹,91.9,98,88,55,55,36.4%,63.6%,0%,0%,0%
602,0141	,b0023010,世界文明史,崔修竹,91.2,97,83,76,76,42.1%,57.9%,0%,0%,0%
602,0149	,g0061009,幸福心理学与生活,宋晓东,91.6,99,0,67,67,92.5%,3%,0%,3%,1.5%
562,0149	,g0061009,幸福心理学与生活,宋晓东,89,99,0,91,91,83.5%,12.1%,0%,0%,4.4%
561,0149	,g0061009,幸福心理学与生活,宋晓东,91.2,99,0,76,76,84.2%,9.2%,3.9%,1.3%,1.3%
